resource,duration_ms,run,n_samples,median,p95,p99,mean,gt1_1,gt1_2,gt1_5,max
Memory,25,experiment0_25ms_run5.csv,100,0.9982758502596423,1.0362930793547018,1.0400080487608843,0.9982968917133205,0.0,0.0,0.0,1.0482758290446637
Memory,100,experiment0_100ms_run2.csv,100,0.9606133239810488,1.346240847591726,1.7866543805846016,1.0176454443246237,0.09,0.09,0.03,1.8054694052061393
Memory,100,experiment0_100ms_run2.csv,100,0.9986231929644925,1.040261304500121,1.0470858564413572,1.0000194540637175,0.0,0.0,0.0,1.055638046212895
L2,100,l2_100ms_r2.csv,94,1.7396551958466484,2.0569827981139923,2.4452758300144914,1.783033774676319,1.0,1.0,1.0,2.474137930686125
L2,100,l2_100ms_r2.csv,100,0.9991918170688553,1.041379326055756,1.0432758915783393,1.0001104689030236,0.0,0.0,0.0,1.0603448873295378
Memory,10,experiment0_10ms_run5.csv,16,0.9619966138041252,1.5657294469177556,1.7555358516620145,1.056208330767853,0.125,0.125,0.0625,1.8029874528480794
Memory,10,experiment0_10ms_run5.csv,100,1.0008913513567594,1.0441941924892404,1.0655258403848535,1.006443602318496,0.01,0.01,0.0,1.3034060043390898
L2,100,l2_100ms_r3.csv,90,1.744386934919116,2.4630398382610066,2.82113993957979,1.8688034265496936,1.0,1.0,0.9888888888888889,2.82728851672018
L2,100,l2_100ms_r3.csv,100,1.0,1.0329016047393202,1.0398100189361208,0.9897625543711519,0.0,0.0,0.0,1.0483593070713746
Memory,10,experiment0_10ms_run2.csv,17,0.9637305943301337,1.3430052271310287,1.4513299168318707,1.0228589107611594,0.11764705882352941,0.11764705882352941,0.0,1.4784110892570812
Memory,10,experiment0_10ms_run2.csv,100,1.0,1.038528154394569,1.0483603857766048,0.9983911124815595,0.0,0.0,0.0,1.0484671775943972
L2,10,l2_10ms_r1.csv,8,1.7884533932717461,2.124582739398267,2.2648144609022998,1.8378173883973727,1.0,1.0,1.0,2.299872391278308
L2,10,l2_10ms_r1.csv,100,0.9986287989486146,1.0337983123182661,1.045534094065218,0.9961057195958903,0.0,0.0,0.0,1.045534094065218
